200009	108546.418
200010	86831.636
200011	84516.247
200012	113153.364
200013	1192446.491
200101	127080.028
200102	99875.586
200103	92816.131
200104	82438.262
200105	81755.576
200106	99409.924
200107	120695.088
200108	129189.801
200109	105956.424
200110	85424.56
200111	80798.47
200112	96166.742
200113	1201606.593
200201	116891.801
200202	96592.933
200203	95318.667
200204	85407.607
200205	87318.539
200206	107169.995
200207	133694.801
200208	134332.468
200209	115833.033
200210	94531.343
200211	88822.303
200212	109266.379
200213	1265179.869
200301	124272.788
200302	110937.37
200303	99561.312
200304	83448.244
200305	87804.372
200306	101285.792
200307	130673.857
200308	134467.799
200309	113848.983
200310	89780.86
200311	86658.681
200312	113083.851
200313	1275823.91
200401	127121.383
200402	112464.055
200403	98947.207
200404	85376.865
200405	90598.212
200406	112335.133
200407	129305.347
200408	126423.34
200409	112337.694
200410	93466.169
200411	89649.741
200412	113956.432
200413	1291981.578
200501	125287.859
200502	106666.913
200503	104065.203
200504	86749.16
200505	87384.112
200506	116627.438
200507	144476.336
200508	146904.78
200509	126515.635
200510	102685.879
200511	91686.571
200512	120177.221
200513	1359227.107
200601	120418.845
200602	104511.063
200603	104955.192
200604	89374.095
200605	93999.951
200606	118815.308
200607	147338.329
200608	150064.425
200609	116072.164
200610	96246.214
200611	94842.851
200612	114881.599
200613	1351520.036
200701	125286.236
200702	121464.249
200703	105694.76
200704	90282.047
200705	96388.854
200706	117417.595
200707	139027.03
200708	150101.494
200709	129512.024
200710	103753.922
200711	95904.831
200712	117407.955
200713	1392240.996
200801	132938.174
200802	118470.786
200803	107056.85
200804	91976.703
200805	92018.296
200806	121136.873
200807	143269.372
200808	138764.503
200809	117588.918
200810	96092.696
200811	95665.266
200812	125002.668
200813	1379981.104
200901	136079.702
200902	115535.554
200903	106543.598
200904	91472.626
200905	94180.397
200906	114347.011
200907	137681.141
200908	138447.35
200909	115372.488
200910	98522.481
200911	92721.753
200912	123570.316
200913	1364474.417
201001	147499.853
201002	122840.217
201003	111790.102
201004	88046.49
201005	94843.071
201006	127495.553
201007	154688.297
201008	154053.276
201009	124582.492
201010	96688.059
201011	93166.141
201012	130014.852
201013	1445708.403
201101	145053.974
201102	120121.26
201103	104920.811
201104	93700.352
201105	97688.439
201106	125982.664
201107	154728.786
201108	153738.608
201109	122719.626
201110	94585.064
201111	93220.237
201112	116341.274
201113	1422801.093
201201	126207.65
201202	107950.519
201203	99153.239
201204	88300.287
201205	100477.563
201206	122992.199
201207	154648.91
201208	147990.975
201209	119201.066
201210	96707.134
201211	97173.594
201212	113791.264
201213	1374594.4
201301	131251.644
