#ZIP	ELEC-KWH	ELEC-GJ	POP	HOUSEUNITS	MEDIANINCOME	AREA	TAX-CREDIT	AVGHOMEVALUE	COMM-kWH	COMM-GJ	INST-kWH	INST-GJ
10471	58521555	210677	22922	9305	72431	2.582	0	386700	59303800	213494	998658	3595
10472	105366693	379320	66358	22002	30413	1.051	7000	456400	57549664	207179	14035691	50529
10473	136589398	491722	58519	20571	39818	2.18	7000	396400	55314886	199134	19929607	71746
10474	15869203	57129	12281	3633	22403	1.533	0	379800	146542022	527552	89837423	323415
10475	47986808	172752	40931	18534	47767	1.723	8000	74700	55116580	198419	21123286	76044
11001	8477791	30520	26883	9198	99974	2.23	0	504100	802168	2888	517	2
11004	26454962	95238	14016	4975	79102	0.95	0	455100	14649616	52739	1471411	5297
11040	4350778	15663	40782	13500	97798	4.783	26000	567100	49140431	176905	0	0
11101	50816191	182938	25484	10429	41799	2.615	0	609500	411823046	1482562	103461302	372461
11102	62402511	224649	34133	14083	47249	0.808	0	616800	54676634	196836	100353864	361274
11103	56370700	202935	38780	16890	52968	0.711	0	687400	70431885	253555	5816157	20938
11104	41133996	148083	27232	11831	54152	0.39	0	477700	40824455	146968	2110358	7597
11105	61297801	220672	36688	16120	56935	1.632	0	660400	74202018	267127	50722199	182600
11106	71578247	257682	38875	17101	47580	0.857	0	427500	83312152	299924	16133136	58079
11109	8372684	30141	3523	1975	132875	0.04	0	480200	12977346	46719	0	0
11201	136727494	492220	51128	23325	91764	1.421	0	676200	537715687	1935777	204544854	736362
11202	12182	44	0	0	0	0	0	0	0	0	637	2
11203	116443383	419196	76174	26420	48797	2.146	16000	438600	96819021	348549	137249000	494097
11204	137673052	495623	78134	25449	44312	1.589	0	646800	67924747	244529	12290113	44245
11205	79232781	285238	40366	14690	42760	0.95	0	619100	109562819	394427	29395670	105825
11206	168629957	607067	81677	28025	28114	1.434	0	547700	124442384	447992	46964897	169073
11207	147962065	532663	93386	31118	33127	2.671	0	438700	115732916	416638	43552686	156790
11208	136241195	490469	94469	29211	35437	3.456	8000	468000	94519251	340269	34048766	122575
11209	135862576	489105	68853	31065	57082	2.162	0	611400	136951901	493027	7072115	25460
11210	131470580	473293	62008	20653	52895	1.641	0	513500	57886183	208390	49954679	179837
11211	201187889	724277	90117	33489	42610	2.298	0	661400	186251301	670505	13566308	48839
11212	163727263	589418	84500	30201	27278	1.538	7000	399000	111209696	400355	23331927	83995
